Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
7.9311	0	0	6	LastDelay	0.000761144	761.144	1	1
7.9311	0	0	6	FullDelay	6.39571	6.39571e+06	8	1
8.00832	0	0	100	LastDelay	0.000743144	743.144	1	1
8.00832	0	0	100	FullDelay	3.3094	3.3094e+06	3	1
8.01622	0	0	253	LastDelay	0.000734144	734.144	1	1
8.01622	0	0	253	FullDelay	1.56441	1.56441e+06	2	1
8.15396	0	0	47	LastDelay	0.000689144	689.144	1	1
8.15396	0	0	47	FullDelay	4.79929	4.79929e+06	4	1
8.16577	0	0	105	LastDelay	0.000734144	734.144	1	1
8.16577	0	0	105	FullDelay	3.42434	3.42434e+06	3	1
8.17794	0	0	107	LastDelay	0.000761144	761.144	1	1
8.17794	0	0	107	FullDelay	3.42814	3.42814e+06	3	1
8.18816	0	0	110	LastDelay	0.000725144	725.144	1	1
8.18816	0	0	110	FullDelay	3.42655	3.42655e+06	3	1
8.19229	0	0	111	LastDelay	0.000761144	761.144	1	1
8.19229	0	0	111	FullDelay	3.42685	3.42685e+06	3	1
8.20613	0	0	265	LastDelay	0.000761144	761.144	1	1
8.20613	0	0	265	FullDelay	1.7145	1.7145e+06	2	1
8.24198	0	0	145	LastDelay	0.000752144	752.144	1	1
8.24198	0	0	145	FullDelay	3.10574	3.10574e+06	3	1
8.2502	0	0	147	LastDelay	0.000752144	752.144	1	1
8.2502	0	0	147	FullDelay	3.10992	3.10992e+06	3	1
8.25438	0	0	148	LastDelay	0.000752144	752.144	1	1
8.25438	0	0	148	FullDelay	3.11207	3.11207e+06	3	1
8.27456	0	0	268	LastDelay	0.000761144	761.144	1	1
8.27456	0	0	268	FullDelay	1.69851	1.69851e+06	2	1
8.32172	0	0	272	LastDelay	0.000761144	761.144	1	1
8.32172	0	0	272	FullDelay	1.72168	1.72168e+06	2	1
8.36557	0	0	348	LastDelay	0.000743144	743.144	1	1
8.36557	0	0	348	FullDelay	1.3342	1.3342e+06	2	1
8.3713	0	0	350	LastDelay	0.000734144	734.144	1	1
8.3713	0	0	350	FullDelay	1.33599	1.33599e+06	2	1
8.38934	0	0	282	LastDelay	0.000707144	707.144	1	1
8.38934	0	0	282	FullDelay	1.73382	1.73382e+06	2	1
8.40148	0	0	48	LastDelay	0.000752144	752.144	1	1
8.40148	0	0	48	FullDelay	4.80802	4.80802e+06	4	1
8.40975	0	0	285	LastDelay	0.000761144	761.144	1	1
8.40975	0	0	285	FullDelay	1.74818	1.74818e+06	2	1
8.46551	0	0	297	LastDelay	0.000698144	698.144	1	1
8.46551	0	0	297	FullDelay	1.66413	1.66413e+06	2	1
8.49349	0	0	278	LastDelay	0.000725144	725.144	1	1
8.49349	0	0	278	FullDelay	1.84565	1.84565e+06	2	1
8.50938	0	0	332	LastDelay	0.000761144	761.144	1	1
8.50938	0	0	332	FullDelay	1.52317	1.52317e+06	2	1
8.55728	0	0	311	LastDelay	0.000743144	743.144	1	1
8.55728	0	0	311	FullDelay	1.69597	1.69597e+06	2	1
8.56549	0	0	314	LastDelay	0.000734144	734.144	1	1
8.56549	0	0	314	FullDelay	1.69808	1.69808e+06	2	1
8.56951	0	0	190	LastDelay	0.000752144	752.144	1	1
8.56951	0	0	190	FullDelay	2.43519	2.43519e+06	3	1
8.57931	0	0	70	LastDelay	0.000725144	725.144	1	1
8.57931	0	0	70	FullDelay	4.8525	4.8525e+06	4	1
8.60334	0	0	21	LastDelay	0.000725144	725.144	1	1
8.60334	0	0	21	FullDelay	6.99595	6.99595e+06	6	1
8.60749	0	0	56	LastDelay	0.000707144	707.144	1	1
8.60749	0	0	56	FullDelay	4.99842	4.99842e+06	4	1
8.61949	0	0	121	LastDelay	0.000761144	761.144	1	1
8.61949	0	0	121	FullDelay	3.56927	3.56927e+06	3	1
8.63168	0	0	163	LastDelay	0.000707144	707.144	1	1
8.63168	0	0	163	FullDelay	3.39906	3.39906e+06	3	1
