Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
7.47406	0	0	121	FullDelay	1.49943	1.49943e+06	2	1
7.48495	0	0	122	LastDelay	0.000743144	743.144	1	1
7.48495	0	0	122	FullDelay	1.50486	1.50486e+06	2	1
7.52868	0	0	131	LastDelay	0.000689144	689.144	1	1
7.52868	0	0	131	FullDelay	1.49893	1.49893e+06	2	1
7.55626	0	0	94	LastDelay	0.000752144	752.144	1	1
7.55626	0	0	94	FullDelay	2.67955	2.67955e+06	3	1
7.58402	0	0	134	LastDelay	0.000725144	725.144	1	1
7.58402	0	0	134	FullDelay	1.22374	1.22374e+06	2	1
7.6498	0	0	69	LastDelay	0.000761144	761.144	1	1
7.6498	0	0	69	FullDelay	3.28894	3.28894e+06	3	1
7.86468	0	0	173	LastDelay	0.000743144	743.144	1	1
7.86468	0	0	173	FullDelay	0.000743144	743.144	1	1
7.89249	0	0	177	LastDelay	0.000743144	743.144	1	1
7.89249	0	0	177	FullDelay	0.000743144	743.144	1	1
7.89795	0	0	178	LastDelay	0.000752144	752.144	1	1
7.89795	0	0	178	FullDelay	0.000752144	752.144	1	1
8.01967	0	0	156	LastDelay	0.000761144	761.144	1	1
8.01967	0	0	156	FullDelay	1.4006	1.4006e+06	2	1
8.07464	0	0	149	LastDelay	0.000725144	725.144	1	1
8.07464	0	0	149	FullDelay	1.49428	1.49428e+06	2	1
8.10794	0	0	190	LastDelay	0.000761144	761.144	1	1
8.10794	0	0	190	FullDelay	0.000761144	761.144	1	1
8.11895	0	0	85	LastDelay	0.000698144	698.144	1	1
8.11895	0	0	85	FullDelay	3.34034	3.34034e+06	3	1
8.21729	0	0	143	LastDelay	0.000761144	761.144	1	1
8.21729	0	0	143	FullDelay	1.68078	1.68078e+06	2	1
8.26705	0	0	193	LastDelay	0.000761144	761.144	1	1
8.26705	0	0	193	FullDelay	0.000761144	761.144	1	1
8.36107	0	0	201	LastDelay	0.000743144	743.144	1	1
8.36107	0	0	201	FullDelay	0.000743144	743.144	1	1
8.39388	0	0	202	LastDelay	0.000716144	716.144	1	1
8.39388	0	0	202	FullDelay	0.000716144	716.144	1	1
8.43781	0	0	8	LastDelay	0.000716144	716.144	1	1
8.43781	0	0	8	FullDelay	6.75294	6.75294e+06	7	1
8.52634	0	0	12	LastDelay	0.000752144	752.144	1	1
8.52634	0	0	12	FullDelay	6.7372	6.7372e+06	6	1
8.55936	0	0	207	LastDelay	0.000743144	743.144	1	1
